id,lemma,pos
oewn-Japan_current-n,Japan current,n
oewn-jack-o-ap--lantern-n,jack-o'-lantern,n
oewn-jet-n,jet,n
oewn-jet_propulsion-n,jet propulsion,n
oewn-jet_stream-n,jet stream,n
oewn-juice-n,juice,n
oewn-Brownian_motion-n,Brownian motion,n
oewn-Brownian_movement-n,Brownian movement,n
oewn-backwash-n,backwash,n
oewn-bad_luck-n,bad luck,n
oewn-ballistic_trajectory-n,ballistic trajectory,n
oewn-ballistics-n,ballistics,n
oewn-bandwagon_effect-n,bandwagon effect,n
oewn-barometric_pressure-n,barometric pressure,n
oewn-beam-n,beam,n
oewn-beam_of_light-n,beam of light,n
oewn-beat-n,beat,n
oewn-beta_radiation-n,beta radiation,n
oewn-beta_ray-n,beta ray,n
oewn-beta_rhythm-n,beta rhythm,n
oewn-beta_wave-n,beta wave,n
oewn-binding_energy-n,binding energy,n
oewn-bioelectric_potential-n,bioelectric potential,n
oewn-bioelectricity-n,bioelectricity,n
oewn-biology-n,biology,n
oewn-bioluminescence-n,bioluminescence,n
oewn-birefringence-n,birefringence,n
oewn-bise-n,bise,n
oewn-bize-n,bize,n
oewn-black-body_radiation-n,black-body radiation,n
oewn-blackbody_radiation-n,blackbody radiation,n
oewn-blast-n,blast,n
oewn-blizzard-n,blizzard,n
oewn-blood_pressure-n,blood pressure,n
oewn-bloom-n,bloom,n
oewn-blow-n,blow,n
oewn-blue_jet-n,blue jet,n
oewn-bluster-n,bluster,n
oewn-bolide-n,bolide,n
oewn-bolt-n,bolt,n
oewn-bolt_of_lightning-n,bolt of lightning,n
oewn-bond-n,bond,n
oewn-boreas-n,boreas,n
oewn-boundary_layer-n,boundary layer,n
oewn-brain_death-n,brain death,n
oewn-brain_wave-n,brain wave,n
oewn-brainwave-n,brainwave,n
oewn-branch-n,branch,n
oewn-breaking_point-n,breaking point,n
oewn-breath-n,breath,n
oewn-breeze-n,breeze,n
oewn-brisance-n,brisance,n
oewn-brush_discharge-n,brush discharge,n
oewn-butterfly_effect-n,butterfly effect,n
oewn-by-product-n,by-product,n
oewn-byproduct-n,byproduct,n
oewn-DC-n,DC,n
oewn-Doppler_effect-n,Doppler effect,n
oewn-Doppler_shift-n,Doppler shift,n
oewn-dative_bond-n,dative bond,n
oewn-daylight-n,daylight,n
oewn-death-n,death,n
oewn-debacle-n,debacle,n
oewn-decalescence-n,decalescence,n
oewn-decay-n,decay,n
oewn-decomposition-n,decomposition,n
oewn-dehiscence-n,dehiscence,n
oewn-delta_rhythm-n,delta rhythm,n
oewn-delta_wave-n,delta wave,n
oewn-deluge-n,deluge,n
oewn-dent-n,dent,n
oewn-depolarisation-n,depolarisation,n
oewn-depolarization-n,depolarization,n
oewn-deposit-n,deposit,n
oewn-desquamation-n,desquamation,n
oewn-detrition-n,detrition,n
oewn-diamagnetism-n,diamagnetism,n
oewn-diamond_dust-n,diamond dust,n
oewn-diapedesis-n,diapedesis,n
oewn-diastolic_pressure-n,diastolic pressure,n
oewn-dichroism-n,dichroism,n
oewn-dielectric_heating-n,dielectric heating,n
oewn-diffraction-n,diffraction,n
oewn-digenesis-n,digenesis,n
oewn-dimorphism-n,dimorphism,n
oewn-dipole_moment-n,dipole moment,n
oewn-direct_current-n,direct current,n
oewn-direct_electric_current-n,direct electric current,n
oewn-discharge-n,discharge,n
oewn-dissociation_energy-n,dissociation energy,n
oewn-distortion-n,distortion,n
oewn-diurnal_parallax-n,diurnal parallax,n
oewn-doldrums-n,doldrums,n
oewn-dominance-n,dominance,n
oewn-domino_effect-n,domino effect,n
oewn-double_bond-n,double bond,n
oewn-double_refraction-n,double refraction,n
oewn-downdraft-n,downdraft,n
oewn-downfall-n,downfall,n
oewn-downpour-n,downpour,n
oewn-draft-n,draft,n
oewn-drag-n,drag,n
oewn-draught-n,draught,n
oewn-drift-n,drift,n
oewn-drizzle-n,drizzle,n
oewn-dust_cloud-n,dust cloud,n
oewn-dust_devil-n,dust devil,n
oewn-dust_storm-n,dust storm,n
oewn-duster-n,duster,n
oewn-dynamic_electricity-n,dynamic electricity,n
oewn-Gulf_stream-n,Gulf stream,n
oewn-gale-n,gale,n
oewn-galvanism-n,galvanism,n
oewn-gamma_radiation-n,gamma radiation,n
oewn-gamma_ray-n,gamma ray,n
oewn-gangrene-n,gangrene,n
oewn-gas_pressure-n,gas pressure,n
oewn-gaslight-n,gaslight,n
oewn-gegenschein-n,gegenschein,n
oewn-gene_expression-n,gene expression,n
oewn-gentle_breeze-n,gentle breeze,n
oewn-gentle_wind-n,gentle wind,n
oewn-geocentric_parallax-n,geocentric parallax,n
oewn-geological_phenomenon-n,geological phenomenon,n
oewn-geothermal_energy-n,geothermal energy,n
oewn-glow-n,glow,n
oewn-glowing-n,glowing,n
oewn-good_fortune-n,good fortune,n
oewn-good_luck-n,good luck,n
oewn-gravitation-n,gravitation,n
oewn-gravitational_attraction-n,gravitational attraction,n
oewn-gravitational_field-n,gravitational field,n
oewn-gravitational_force-n,gravitational force,n
oewn-gravitational_interaction-n,gravitational interaction,n
oewn-gravity-n,gravity,n
oewn-gravity-assist-n,gravity-assist,n
oewn-greenhouse_effect-n,greenhouse effect,n
oewn-greenhouse_warming-n,greenhouse warming,n
oewn-greening-n,greening,n
oewn-grinding-n,grinding,n
oewn-grip-n,grip,n
oewn-ground_effect-n,ground effect,n
oewn-ground_wave-n,ground wave,n
oewn-growth_ring-n,growth ring,n
oewn-gun_smoke-n,gun smoke,n
oewn-gust-n,gust,n
oewn-occluded_front-n,occluded front,n
oewn-occlusion-n,occlusion,n
oewn-ocean_current-n,ocean current,n
oewn-offset-n,offset,n
oewn-offshoot-n,offshoot,n
oewn-ohmage-n,ohmage,n
oewn-ohmic_resistance-n,ohmic resistance,n
oewn-oil_pressure-n,oil pressure,n
oewn-opacity-n,opacity,n
oewn-optical_aberration-n,optical aberration,n
oewn-optical_illusion-n,optical illusion,n
oewn-optical_opacity-n,optical opacity,n
oewn-optical_phenomenon-n,optical phenomenon,n
oewn-organic_phenomenon-n,organic phenomenon,n
oewn-osmotic_pressure-n,osmotic pressure,n
oewn-outcome-n,outcome,n
oewn-outgrowth-n,outgrowth,n
oewn-overpressure-n,overpressure,n
oewn-overstrain-n,overstrain,n
oewn-P.E.-n,P.E.,n
oewn-Peruvian_current-n,Peruvian current,n
oewn-parallax-n,parallax,n
oewn-paramagnetism-n,paramagnetism,n
oewn-parhelic_circle-n,parhelic circle,n
oewn-parhelic_ring-n,parhelic ring,n
oewn-parhelion-n,parhelion,n
oewn-particle_beam-n,particle beam,n
oewn-particulate_radiation-n,particulate radiation,n
oewn-pea_soup-n,pea soup,n
oewn-pea-souper-n,pea-souper,n
oewn-pedesis-n,pedesis,n
oewn-peeling-n,peeling,n
oewn-pelter-n,pelter,n
oewn-peptide_bond-n,peptide bond,n
oewn-peptide_linkage-n,peptide linkage,n
oewn-perturbation-n,perturbation,n
oewn-phosphorescence-n,phosphorescence,n
oewn-photochemical_exchange-n,photochemical exchange,n
oewn-photoconduction-n,photoconduction,n
oewn-photoconductivity-n,photoconductivity,n
oewn-photoelectricity-n,photoelectricity,n
oewn-photoemission-n,photoemission,n
oewn-physical_phenomenon-n,physical phenomenon,n
oewn-piezo_effect-n,piezo effect,n
oewn-piezoelectric_effect-n,piezoelectric effect,n
oewn-piezoelectricity-n,piezoelectricity,n
oewn-placebo_effect-n,placebo effect,n
oewn-pleochroism-n,pleochroism,n
oewn-pleomorphism-n,pleomorphism,n
oewn-pocket-n,pocket,n
oewn-pogonip-n,pogonip,n
oewn-polar_front-n,polar front,n
oewn-polarisation-n,polarisation,n
oewn-polarization-n,polarization,n
oewn-polymorphism-n,polymorphism,n
oewn-position_effect-n,position effect,n
oewn-positive_charge-n,positive charge,n
oewn-potential-n,potential,n
oewn-potential_difference-n,potential difference,n
oewn-potential_drop-n,potential drop,n
oewn-potential_energy-n,potential energy,n
oewn-poudrin-n,poudrin,n
oewn-power-n,power,n
oewn-precipitation-n,precipitation,n
oewn-pressure-n,pressure,n
oewn-pressure_level-n,pressure level,n
oewn-prevailing_westerly-n,prevailing westerly,n
oewn-prevailing_wind-n,prevailing wind,n
oewn-product-n,product,n
oewn-programmed_cell_death-n,programmed cell death,n
oewn-projection-n,projection,n
oewn-propagation-n,propagation,n
oewn-propulsion-n,propulsion,n
oewn-proton_magnetic_resonance-n,proton magnetic resonance,n
oewn-puff-n,puff,n
oewn-puff_of_air-n,puff of air,n
oewn-pull-n,pull,n
oewn-pulmonary_circulation-n,pulmonary circulation,n
oewn-pulsation-n,pulsation,n
oewn-purchase-n,purchase,n
oewn-push-n,push,n
oewn-pyroelectricity-n,pyroelectricity,n
oewn-Lorentz_force-n,Lorentz force,n
oewn-laminar_flow-n,laminar flow,n
oewn-lamplight-n,lamplight,n
oewn-languor-n,languor,n
oewn-laser_beam-n,laser beam,n
oewn-latent_heat-n,latent heat,n
oewn-levanter-n,levanter,n
oewn-leverage-n,leverage,n
oewn-levitation-n,levitation,n
oewn-life-n,life,n
oewn-life_cycle-n,life cycle,n
oewn-life_force-n,life force,n
oewn-lift-n,lift,n
oewn-light-n,light,n
oewn-light_air-n,light air,n
oewn-light_beam-n,light beam,n
oewn-light_breeze-n,light breeze,n
oewn-lightning-n,lightning,n
oewn-line-n,line,n
oewn-line_of_force-n,line of force,n
oewn-line_spectrum-n,line spectrum,n
oewn-line_squall-n,line squall,n
oewn-line_storm-n,line storm,n
oewn-load-n,load,n
oewn-lode-n,lode,n
oewn-long_wave-n,long wave,n
oewn-low_beam-n,low beam,n
oewn-luck-n,luck,n
oewn-luminescence-n,luminescence,n
oewn-luminous_energy-n,luminous energy,n
oewn-wake-n,wake,n
oewn-wallop-n,wallop,n
oewn-warm_front-n,warm front,n
oewn-warming-n,warming,n
oewn-wash-n,wash,n
oewn-waterpower-n,waterpower,n
oewn-waterspout-n,waterspout,n
oewn-wattage-n,wattage,n
oewn-wave-n,wave,n
oewn-wave_front-n,wave front,n
oewn-weak_force-n,weak force,n
oewn-weak_interaction-n,weak interaction,n
oewn-weather-n,weather,n
oewn-weather_condition-n,weather condition,n
oewn-west_wind-n,west wind,n
oewn-wester-n,wester,n
oewn-westerly-n,westerly,n
oewn-whiff-n,whiff,n
oewn-whirlwind-n,whirlwind,n
oewn-whiteout-n,whiteout,n
oewn-whole_gale-n,whole gale,n
oewn-will-o-ap--the-wisp-n,will-o'-the-wisp,n
oewn-wind-n-1,wind,n
oewn-wind_generation-n,wind generation,n
oewn-wind_power-n,wind power,n
oewn-windage-n,windage,n
oewn-windstorm-n,windstorm,n
oewn-work-n,work,n
oewn-race-n,race,n
oewn-radiance-n,radiance,n
oewn-radiant_energy-n,radiant energy,n
oewn-radiation-n,radiation,n
oewn-radiation_field-n,radiation field,n
oewn-radiation_pressure-n,radiation pressure,n
oewn-radio_emission-n,radio emission,n
oewn-radio_radiation-n,radio radiation,n
oewn-radio_signal-n,radio signal,n
oewn-radio_spectrum-n,radio spectrum,n
oewn-radio_wave-n,radio wave,n
oewn-radio-frequency_spectrum-n,radio-frequency spectrum,n
oewn-radio-opacity-n,radio-opacity,n
oewn-radiopacity-n,radiopacity,n
oewn-rain-n,rain,n
oewn-rain_shower-n,rain shower,n
oewn-raindrop-n,raindrop,n
oewn-rainfall-n,rainfall,n
oewn-rainstorm-n,rainstorm,n
oewn-rated_voltage-n,rated voltage,n
oewn-ray-n,ray,n
oewn-ray_of_light-n,ray of light,n
oewn-reactance-n,reactance,n
oewn-reaction-n,reaction,n
oewn-reaction_propulsion-n,reaction propulsion,n
oewn-real_power-n,real power,n
oewn-rebirth-n,rebirth,n
oewn-recognition-n,recognition,n
oewn-red_shift-n,red shift,n
oewn-red_sprites-n,red sprites,n
oewn-redshift-n,redshift,n
oewn-reflection-n,reflection,n
oewn-reflexion-n,reflexion,n
oewn-refraction-n,refraction,n
oewn-rejection-n,rejection,n
oewn-rejuvenation-n,rejuvenation,n
oewn-reluctance-n,reluctance,n
oewn-repercussion-n,repercussion,n
oewn-repulsion-n,repulsion,n
oewn-repulsive_force-n,repulsive force,n
oewn-resistance-n,resistance,n
oewn-resistivity-n,resistivity,n
oewn-resolution-n,resolution,n
oewn-resolving_power-n,resolving power,n
oewn-resonance-n,resonance,n
oewn-response-n,response,n
oewn-rest_energy-n,rest energy,n
oewn-resting_potential-n,resting potential,n
oewn-result-n,result,n
oewn-retarding_force-n,retarding force,n
oewn-reverberation-n,reverberation,n
oewn-reverse_lightning-n,reverse lightning,n
oewn-rocket_propulsion-n,rocket propulsion,n
oewn-roentgen_ray-n,roentgen ray,n
oewn-rubbing-n,rubbing,n
oewn-CBR-n,CBR,n
oewn-CMB-n,CMB,n
oewn-CMBR-n,CMBR,n
oewn-Coriolis_effect-n,Coriolis effect,n
oewn-Coriolis_force-n,Coriolis force,n
oewn-calm-n,calm,n
oewn-calm_air-n,calm air,n
oewn-candle_flame-n,candle flame,n
oewn-candlelight-n,candlelight,n
oewn-capacitance-n,capacitance,n
oewn-capacity-n,capacity,n
oewn-capillarity-n,capillarity,n
oewn-capillary_action-n,capillary action,n
oewn-carrier-n,carrier,n
oewn-carrier_wave-n,carrier wave,n
oewn-caspase-mediated_cell_death-n,caspase-mediated cell death,n
oewn-catabatic_wind-n,catabatic wind,n
oewn-cataclysm-n,cataclysm,n
oewn-catastrophe-n,catastrophe,n
oewn-cathode_ray-n,cathode ray,n
oewn-cell_death-n,cell death,n
oewn-centrifugal_force-n,centrifugal force,n
oewn-centripetal_force-n,centripetal force,n
oewn-cerebral_death-n,cerebral death,n
oewn-chain_lightning-n,chain lightning,n
oewn-champion_lode-n,champion lode,n
oewn-chance-n,chance,n
oewn-change-n,change,n
oewn-chaos-n,chaos,n
oewn-charge-n,charge,n
oewn-chatter_mark-n,chatter mark,n
oewn-chemical_attraction-n,chemical attraction,n
oewn-chemical_bond-n,chemical bond,n
oewn-chemical_energy-n,chemical energy,n
oewn-chemical_phenomenon-n,chemical phenomenon,n
oewn-chemiluminescence-n,chemiluminescence,n
oewn-chinook-n,chinook,n
oewn-chinook_wind-n,chinook wind,n
oewn-chop-n,chop,n
oewn-chromatic_aberration-n,chromatic aberration,n
oewn-circulation-n,circulation,n
oewn-cloud-n,cloud,n
oewn-cloudburst-n,cloudburst,n
oewn-coattails_effect-n,coattails effect,n
oewn-cohesion-n,cohesion,n
oewn-cold_front-n,cold front,n
oewn-cold_wave-n,cold wave,n
oewn-cold_weather-n,cold weather,n
oewn-color_force-n,color force,n
oewn-color_spectrum-n,color spectrum,n
oewn-compartment_pressure-n,compartment pressure,n
oewn-condensate-n,condensate,n
oewn-condensation-n,condensation,n
oewn-conditions-n,conditions,n
oewn-conductance-n,conductance,n
oewn-conduction-n,conduction,n
oewn-conductivity-n,conductivity,n
oewn-consequence-n,consequence,n
oewn-continental_drift-n,continental drift,n
oewn-coordinate_bond-n,coordinate bond,n
oewn-corona-n,corona,n
oewn-corona_discharge-n,corona discharge,n
oewn-corposant-n,corposant,n
oewn-corpuscular_radiation-n,corpuscular radiation,n
oewn-corpuscular-radiation_pressure-n,corpuscular-radiation pressure,n
oewn-cortical_potential-n,cortical potential,n
oewn-cosmic_background_radiation-n,cosmic background radiation,n
oewn-cosmic_dust-n,cosmic dust,n
oewn-cosmic_microwave_background-n,cosmic microwave background,n
oewn-cosmic_microwave_background_radiation-n,cosmic microwave background radiation,n
oewn-cosmic_radiation-n,cosmic radiation,n
oewn-cosmic_ray-n,cosmic ray,n
oewn-counterglow-n,counterglow,n
oewn-covalent_bond-n,covalent bond,n
oewn-cross-link-n,cross-link,n
oewn-cross-linkage-n,cross-linkage,n
oewn-crosswind-n,crosswind,n
oewn-crystallisation-n,crystallisation,n
oewn-crystallization-n,crystallization,n
oewn-crystallizing-n,crystallizing,n
oewn-current-n,current,n
oewn-current_electricity-n,current electricity,n
oewn-current_of_air-n,current of air,n
oewn-cyclone-n,cyclone,n
oewn-cyclosis-n,cyclosis,n
oewn-IOP-n,IOP,n
oewn-ice_crystal-n,ice crystal,n
oewn-ice_fog-n,ice fog,n
oewn-ice_needle-n,ice needle,n
oewn-ice_storm-n,ice storm,n
oewn-ignis_fatuus-n,ignis fatuus,n
oewn-impact-n,impact,n
oewn-impedance-n,impedance,n
oewn-impetus-n,impetus,n
oewn-impulsion-n,impulsion,n
oewn-incandescence-n,incandescence,n
oewn-incidence-n,incidence,n
oewn-inductance-n,inductance,n
oewn-induction-n,induction,n
oewn-inertia-n,inertia,n
oewn-influence-n,influence,n
oewn-infrared-n,infrared,n
oewn-infrared_emission-n,infrared emission,n
oewn-infrared_light-n,infrared light,n
oewn-infrared_radiation-n,infrared radiation,n
oewn-infrared_ray-n,infrared ray,n
oewn-infrared_spectrum-n,infrared spectrum,n
oewn-insolation-n,insolation,n
oewn-instantaneous_sound_pressure-n,instantaneous sound pressure,n
oewn-interaction-n,interaction,n
oewn-interfacial_surface_tension-n,interfacial surface tension,n
oewn-interfacial_tension-n,interfacial tension,n
oewn-interference_fringe-n,interference fringe,n
oewn-interreflection-n,interreflection,n
oewn-interrupt-n,interrupt,n
oewn-intraocular_pressure-n,intraocular pressure,n
oewn-inundation-n,inundation,n
oewn-inversion-n,inversion,n
oewn-ion_beam-n,ion beam,n
oewn-ionic_beam-n,ionic beam,n
oewn-ionic_bond-n,ionic bond,n
oewn-ionizing_radiation-n,ionizing radiation,n
oewn-ionospheric_wave-n,ionospheric wave,n
oewn-irradiation-n,irradiation,n
oewn-issue-n,issue,n
oewn-valency-n,valency,n
oewn-van_der_Waal-ap-s_forces-n,van der Waal's forces,n
oewn-vapor_pressure-n,vapor pressure,n
oewn-vapour_pressure-n,vapour pressure,n
oewn-variation-n,variation,n
oewn-venous_pressure-n,venous pressure,n
oewn-violent_storm-n,violent storm,n
oewn-virga-n,virga,n
oewn-virtual_image-n,virtual image,n
oewn-visible_light-n,visible light,n
oewn-visible_radiation-n,visible radiation,n
oewn-visible_spectrum-n,visible spectrum,n
oewn-vital_force-n,vital force,n
oewn-vitality-n,vitality,n
oewn-vitelline_circulation-n,vitelline circulation,n
oewn-volcanism-n,volcanism,n
oewn-voltage-n,voltage,n
oewn-facilitation-n,facilitation,n
oewn-facula-n,facula,n
oewn-fair_weather-n,fair weather,n
oewn-fallout-n,fallout,n
oewn-fata_morgana-n,fata morgana,n
oewn-ferrimagnetism-n,ferrimagnetism,n
oewn-ferromagnetism-n,ferromagnetism,n
oewn-field-n,field,n
oewn-field_line-n,field line,n
oewn-field_of_force-n,field of force,n
oewn-fine_spray-n,fine spray,n
oewn-fine_structure-n,fine structure,n
oewn-fireball-n,fireball,n
oewn-firelight-n,firelight,n
oewn-firestorm-n,firestorm,n
oewn-flake-n,flake,n
oewn-flare-n,flare,n
oewn-flash_flood-n,flash flood,n
oewn-flashflood-n,flashflood,n
oewn-flashover-n,flashover,n
oewn-flight-n,flight,n
oewn-floatation-n,floatation,n
oewn-flood-n,flood,n
oewn-floodhead-n,floodhead,n
oewn-flotation-n,flotation,n
oewn-fluke-n,fluke,n
oewn-fluorescence-n,fluorescence,n
oewn-flurry-n,flurry,n
oewn-flux-n,flux,n
oewn-focal_point-n,focal point,n
oewn-focus-n,focus,n
oewn-foehn-n,foehn,n
oewn-fog-n,fog,n
oewn-fogbank-n,fogbank,n
oewn-fohn-n,fohn,n
oewn-food_chain-n,food chain,n
oewn-food_cycle-n,food cycle,n
oewn-food_pyramid-n,food pyramid,n
oewn-food_web-n,food web,n
oewn-force-n,force,n
oewn-force_field-n,force field,n
oewn-force_per_unit_area-n,force per unit area,n
oewn-forked_lightning-n,forked lightning,n
oewn-fortune-n,fortune,n
oewn-free_energy-n,free energy,n
oewn-freeze-n,freeze,n
oewn-fresh_breeze-n,fresh breeze,n
oewn-fresh_gale-n,fresh gale,n
oewn-friar-ap-s_lantern-n,friar's lantern,n
oewn-friction-n,friction,n
oewn-fringe-n,fringe,n
oewn-front-n,front,n
oewn-frost-n,frost,n
oewn-frost_heave-n,frost heave,n
oewn-frost_heaving-n,frost heaving,n
oewn-frost_mist-n,frost mist,n
oewn-frost_snow-n,frost snow,n
oewn-fume-n,fume,n
oewn-fundamental_interaction-n,fundamental interaction,n
oewn-El_Nino-n,El Nino,n
oewn-El_Nino_southern_oscillation-n,El Nino southern oscillation,n
oewn-east_wind-n,east wind,n
oewn-easter-n,easter,n
oewn-easterly-n,easterly,n
oewn-effect-n,effect,n
oewn-efflorescence-n,efflorescence,n
oewn-elan_vital-n,elan vital,n
oewn-elastance-n,elastance,n
oewn-elastic_energy-n,elastic energy,n
oewn-elastic_potential_energy-n,elastic potential energy,n
oewn-electric_arc-n,electric arc,n
oewn-electric_charge-n,electric charge,n
oewn-electric_current-n,electric current,n
oewn-electric_dipole_moment-n,electric dipole moment,n
oewn-electric_discharge-n,electric discharge,n
oewn-electric_energy-n,electric energy,n
oewn-electric_field-n,electric field,n
oewn-electric_glow-n,electric glow,n
oewn-electric_potential-n,electric potential,n
oewn-electric_power-n,electric power,n
oewn-electric_resistance-n,electric resistance,n
oewn-electric_storm-n,electric storm,n
oewn-electrical_capacity-n,electrical capacity,n
oewn-electrical_conduction-n,electrical conduction,n
oewn-electrical_disturbance-n,electrical disturbance,n
oewn-electrical_elastance-n,electrical elastance,n
oewn-electrical_energy-n,electrical energy,n
oewn-electrical_line_of_force-n,electrical line of force,n
oewn-electrical_phenomenon-n,electrical phenomenon,n
oewn-electrical_power-n,electrical power,n
oewn-electrical_resistance-n,electrical resistance,n
oewn-electrical_storm-n,electrical storm,n
oewn-electricity-n,electricity,n
oewn-electromagnetic_interaction-n,electromagnetic interaction,n
oewn-electromagnetic_radiation-n,electromagnetic radiation,n
oewn-electromagnetic_spectrum-n,electromagnetic spectrum,n
oewn-electromagnetic_wave-n,electromagnetic wave,n
oewn-electromagnetism-n,electromagnetism,n
oewn-electromotive_force-n,electromotive force,n
oewn-electron_beam-n,electron beam,n
oewn-electron_radiation-n,electron radiation,n
oewn-electrostatic_bond-n,electrostatic bond,n
oewn-electrostatic_charge-n,electrostatic charge,n
oewn-electrostatic_field-n,electrostatic field,n
oewn-electrovalent_bond-n,electrovalent bond,n
oewn-elements-n,elements,n
oewn-elves-n,elves,n
oewn-emf-n,emf,n
oewn-emission_spectrum-n,emission spectrum,n
oewn-endogeny-n,endogeny,n
oewn-energy-n,energy,n
oewn-energy_level-n,energy level,n
oewn-energy_of_activation-n,energy of activation,n
oewn-energy_state-n,energy state,n
oewn-engine-n,engine,n
oewn-epiphenomenon-n,epiphenomenon,n
oewn-equatorial_current-n,equatorial current,n
oewn-equinoctial_storm-n,equinoctial storm,n
oewn-even_chance-n,even chance,n
oewn-event-n,event,n
oewn-evoked_potential-n,evoked potential,n
oewn-exchange-n,exchange,n
oewn-exchange_energy-n,exchange energy,n
oewn-exfoliation-n,exfoliation,n
oewn-zephyr-n,zephyr,n
oewn-zodiacal_light-n,zodiacal light,n
oewn-AC-n,AC,n
oewn-aberration-n,aberration,n
oewn-abiogenesis-n,abiogenesis,n
oewn-abrasion-n,abrasion,n
oewn-absorption_band-n,absorption band,n
oewn-absorption_spectrum-n,absorption spectrum,n
oewn-acoustic_impedance-n,acoustic impedance,n
oewn-acoustic_phenomenon-n,acoustic phenomenon,n
oewn-acoustic_projection-n,acoustic projection,n
oewn-acoustic_reactance-n,acoustic reactance,n
oewn-acoustic_resistance-n,acoustic resistance,n
oewn-acoustic_spectrum-n,acoustic spectrum,n
oewn-actinic_radiation-n,actinic radiation,n
oewn-actinic_ray-n,actinic ray,n
oewn-action_spectrum-n,action spectrum,n
oewn-activation_energy-n,activation energy,n
oewn-active_power-n,active power,n
oewn-adhesive_friction-n,adhesive friction,n
oewn-adiabaticity-n,adiabaticity,n
oewn-aerobiosis-n,aerobiosis,n
